duration,daily_price,cleaning_fee,service_fee,bath,bed,cleanliness,accuracy,check-in,communication,location,value,overall_rating,num_review,num_years,daily_original_price,Bundle,Weekend,Holiday,room_id,start_date,status,state,scrape_date,Total State Tax,check-in date,check-out date,daily_discount_rate,booked,week,weekly_occupancy_rate,weekly_revenue
2.0,50.5,10.0,30.0,2.505970149253731,1.2129853037946918,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,6.33333333333333,7.33333333333333,50.5,1.0,0.0,0.0,6446647,2024-10-23,available,Rhode Island,2024-06-27,12.00%,2024-10-23,2024-10-25,1.0,1,43,1.0,353.5
2.0,51.0,10.0,30.0,2.505970149253731,1.2129853037946918,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,7.102666666666665,7.734666666666666,51.0,1.0,1.0,1.0,6446647,2024-10-27,available,Rhode Island,2024-06-28,12.00%,2024-10-27,2024-10-29,1.0,1,43,1.0,357.0
2.0,50.5,10.0,30.0,2.505970149253731,1.2129853037946918,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,7.102666666666665,7.734666666666666,50.5,1.0,0.0,0.0,6446647,2024-10-28,available,Rhode Island,2024-06-28,12.00%,2024-10-28,2024-10-30,1.0,1,44,1.0,353.5
7.0,26.1428571428571,164.0,204.0,2.0,1.0,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,15.5,8.33333333333333,26.1428571428571,1.0,1.0,1.0,6569449,2024-10-01,available,District of Columbia,2024-06-26,14.95%,2024-10-01,2024-10-08,1.0,1,40,1.0,182.9999999999997
7.0,26.1428571428571,164.0,204.0,2.0,1.0,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,15.5,8.477777777777778,26.1428571428571,1.0,1.0,1.0,6569449,2024-10-01,available,District of Columbia,2024-06-27,14.95%,2024-10-01,2024-10-08,1.0,1,40,1.0,182.9999999999997
7.0,26.4285714285714,164.0,206.0,2.0,1.0,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,15.5,8.5,26.4285714285714,1.0,1.0,1.0,6569449,2024-10-01,available,District of Columbia,2024-06-28,14.95%,2024-10-01,2024-10-08,1.0,1,40,1.0,184.9999999999998
7.0,25.8571428571429,164.0,202.0,2.0,1.0,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,15.5,8.33333333333333,25.8571428571429,1.0,1.0,1.0,6569449,2024-10-02,available,District of Columbia,2024-06-26,14.95%,2024-10-02,2024-10-09,1.0,1,40,1.0,181.0000000000003
7.0,25.8571428571429,164.0,202.0,2.0,1.0,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,15.5,8.477777777777778,25.8571428571429,1.0,1.0,1.0,6569449,2024-10-02,available,District of Columbia,2024-06-27,14.95%,2024-10-02,2024-10-09,1.0,1,40,1.0,181.0000000000003
7.0,26.285714285714295,164.0,205.0,2.0,1.0,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,15.5,8.5,26.285714285714295,1.0,1.0,1.0,6569449,2024-10-02,available,District of Columbia,2024-06-28,14.95%,2024-10-02,2024-10-09,1.0,1,40,1.0,184.00000000000006
7.0,26.5714285714286,164.0,207.0,2.0,1.0,4.7158279695728496,4.796869514335869,4.865857226448214,4.836366296079578,4.789087185488589,4.653101228788766,4.72217671152721,15.5,8.33333333333333,26.5714285714286,1.0,1.0,1.0,6569449,2024-10-03,available,District of Columbia,2024-06-26,14.95%,2024-10-03,2024-10-10,1.0,1,40,1.0,186.0000000000002
